id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go to the farm land until it was open and accesible?,What is the type of the road available to the farm land?,How much distance should one travel from the farm land to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What is the type of structure of the farm land?,What is the type of security available for the farm land?,How many are employed in the farm land?,Where do you get water for operational purposes for the farm land?,What are the other source of water you depend upon?,How do you deal with the agricultural waste generated from the farm land?,What are the other mechanism used to discard the waste from the farm land?,Are the premises of farm land cleaned with disinfectant regularly?,How frequently are the premises at the farm land cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the farm land?,How many hours per day are you facing power cuts in the farm land?,What is the alternative energy source available for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How do you maintain records for operations of the farm land?,What are the other record mechanisms?,What are the areas the farm land gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the farm land?,What is the name of the organization?,Are you using digital technologies that can be used in the farm land?,For what purpose are you using digital tools here at the farm land?,Where do you procure inputs required for the farm land?,What other sources are used to get needed inputs?,What are different chemical inputs used in the farm land?,What other chemical inputs are used in the farm land?,What is the type of covering material used in the farm land?,What other type of covering material are used in the farm land?,What is the water source used for irrigation mechanism?,What other source of water do you depend upon for irrigation?,What is the type of irrigation mechanism used in the farm land?,What are other mechanism used for irrigation?,How does the farm land advertise about the services available?,What is the average operational cost per month to run the farm land?(Excluding Salary of the Employees),How much amount of products are produced in the farm land in a year?(In K.G),What is the type of agriculture products produced in the farm land?,What is the average cost per K.G of the products produced from the farm land?(In Rupees),What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,Which type of customers purchase the products produced in the farm land?,How does the customers transport the goods produced from the farm land?
4895,2019-05-12 10:16:03,Agriculture,Farm land,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.61887,93.84551,Approved,https://smartvillage.imagetrekk.com/storage/images/dNV0xmgaL9fEYadK4x0YQnW4KQZ6L557l5SRuY5G.jpeg?asset_id=4895,kiwi farm 7,7,Kacha Road,1,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",10,Ground Water,,Discarded in Water Bodies,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,Ground Water,,Canal Irrigation,,"[""Others"",""Marketing team\/ Sales Agents""]",1000,500,kiwi,101-200,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]"
4900,2019-05-12 10:16:24,Agriculture,Farm land,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.63302,93.88742,Approved,https://smartvillage.imagetrekk.com/storage/images/4fKvBRuDaTylhN3YcCYOV1MccozQme1qko7XKyDb.jpeg?asset_id=4900,apple farm 2,1,Kacha Road,3,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",10,Ground Water,,Discarded in Water Bodies,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,Ground Water,,Canal Irrigation,,"[""Others"",""Marketing team\/ Sales Agents""]",1000,500,apple,101-200,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]"
4901,2019-05-12 10:16:31,Agriculture,Farm land,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.65779,93.84152,Approved,https://smartvillage.imagetrekk.com/storage/images/3SlPUiVJGSNphW7uBIEzqs5cB0yYaJS0fscGlsAa.jpeg?asset_id=4901,kiwi farm,1,Kacha Road,3,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",10,Ground Water,,Discarded in Water Bodies,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,Ground Water,,Canal Irrigation,,"[""Others"",""Marketing team\/ Sales Agents""]",1000,500,kiwi,101-200,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]"
4902,2019-05-12 10:16:35,Agriculture,Farm land,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.59233,93.81757,Approved,https://smartvillage.imagetrekk.com/storage/images/wdinyKpgAAlLaDlTS2D73PBCRgPPMO7rj0UdTn3o.jpeg?asset_id=4902,apple farm 1,1,Kacha Road,3,2G Reliable,"[""Vodafone"",""Idea"",""Airtel""]","[""Vodafone"",""Idea"",""Airtel""]","[""Vodafone"",""Idea"",""Airtel""]","[""Vodafone"",""Idea"",""Airtel""]","[""Vodafone"",""Idea"",""Airtel""]","[""Vodafone"",""Idea"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",10,Ground Water,,Discarded in Water Bodies,,Yes,7,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,Ground Water,,Canal Irrigation,,"[""Others"",""Marketing team\/ Sales Agents""]",1000,500,apple,101-200,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]"
4907,2019-05-12 10:17:17,Agriculture,Farm land,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.59233,93.86347,Approved,https://smartvillage.imagetrekk.com/storage/images/MSZrF1iEORBh2Ww4FZp6ifcQWNCJBz9youOz226W.jpeg?asset_id=4907,keliya kiwi farm 3,1,Kacha Road,3,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",10,River or Canal,,Discarded in Water Bodies,,Yes,6,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,River/Stream,,Canal Irrigation,,"[""Others"",""Marketing team\/ Sales Agents""]",1000,500,kiwi,101-200,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]"
4909,2019-05-12 10:17:30,Agriculture,Farm land,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.63125,93.89141,Approved,https://smartvillage.imagetrekk.com/storage/images/IaZyx0LRM0P5IBbjTETU3WUzsdkyXlhXczmviqf1.jpeg?asset_id=4909,keliya kiwi farm 2,1,Kacha Road,3,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",10,Ground Water,,Discarded in Water Bodies,,Yes,7,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,River/Stream,,Canal Irrigation,,"[""Others"",""Marketing team\/ Sales Agents""]",1000,1000,kiwi,101-200,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]"
4910,2019-05-12 10:17:47,Agriculture,Farm land,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.60826,93.84551,Approved,https://smartvillage.imagetrekk.com/storage/images/Ms43OdSASCyqteopq9bQmL8rkVN6cXeMXqvJ5lu1.jpeg?asset_id=4910,kiwi farm,1,Kacha Road,3,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",10,Ground Water,,Burnt within the premises,,Yes,>7,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,Rainfed,,Canal Irrigation,,"[""Marketing team\/ Sales Agents"",""Others""]",1000,100,kiwi,101-200,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]"
5015,2019-05-12 17:31:01,Agriculture,Farm land,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.56878,93.84671,Approved,https://smartvillage.imagetrekk.com/storage/images/I1aLENf4hgsX5T0Uigsxll4qR4Y29CVgvjhHx7rV.jpeg?asset_id=5015,Kiwi garden no. (2) at biirii area,3,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",3,Water from Government,,Burnt within the premises,,No,,No,,Solar Unit,5,5,5,5,5,5,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,Fertilizer,,None,,Rainfed,,Sprinklers,,"[""Village Meeting ""]",10000,50,Kiwi Fruits,201-300,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""2 Wheeler"",""Head Load"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
5020,2019-05-12 17:33:32,Agriculture,Farm land,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.5671,93.84563,Approved,https://smartvillage.imagetrekk.com/storage/images/2RQ8MrdzfTNByeL4dnBGyQFZ1OrfIQJUzV74X16U.jpeg?asset_id=5020,Private paddy field no. (11) at biirii area,2,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",1,Water from Government,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,Pesticide,,None,,Rainfed,,Canal Irrigation,,"[""Village Meeting ""]",10000,100,rice,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
5090,2019-05-13 14:25:58,Agriculture,Farm land,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Keiliya,27.58348,93.89341,Pending,https://smartvillage.imagetrekk.com/storage/images/30uXvoLAUeIrNn3woVzpJNOFJjrlSrbECsqKZ3qk.jpeg?asset_id=5090,kiwi farm,1,Footway,3,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",2,Ground Water,,Discarded in Water Bodies,,Yes,3,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,Ground Water,,Canal Irrigation,,"[""Others"",""Marketing team\/ Sales Agents""]",1000,500,kiwo,101-200,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]"
5091,2019-05-13 14:26:33,Agriculture,Farm land,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Keiliya,27.59056,93.77566,Approved,https://smartvillage.imagetrekk.com/storage/images/yDh74LqOXHmO1lb1xOY9fD33zWbOWOcSz7eZRRjX.jpeg?asset_id=5091,vegetables farm,1,Footway,3,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",2,Ground Water,,Discarded in Water Bodies,,Yes,4,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,None,,None,,Ground Water,,Canal Irrigation,,"[""Others"",""Marketing team\/ Sales Agents""]",500,500,potato beens,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]"
5092,2019-05-13 14:26:53,Agriculture,Farm land,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Keiliya,27.64364,93.82156,Pending,https://smartvillage.imagetrekk.com/storage/images/WVrnPTF7163ytnwD3ZrdHlcvDYlGequSVou7ODVc.jpeg?asset_id=5092,palm farm 2,1,Footway,3,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",2,Ground Water,,Discarded in Water Bodies,,Yes,3,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,Ground Water,,Canal Irrigation,,"[""Others"",""Marketing team\/ Sales Agents""]",1000,500,palm,101-200,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]"
5093,2019-05-13 14:27:20,Agriculture,Farm land,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Keiliya,27.60472,93.86547,Approved,https://smartvillage.imagetrekk.com/storage/images/eg467I3pYOgYRmp2MfFC92fErgB5aRTgdKQD69EW.jpeg?asset_id=5093,palm farm,1,Footway,3,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",2,Ground Water,,Discarded in Water Bodies,,Yes,4,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,Ground Water,,Canal Irrigation,,"[""Marketing team\/ Sales Agents"",""Others""]",1000,500,palm,101-200,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]"
5110,2019-05-13 17:23:38,Agriculture,Farm land,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57275,93.82936,Approved,https://smartvillage.imagetrekk.com/storage/images/o6eED9GM0xBizSWsmozTbnJLvmSqgh88URLlA1ow.jpeg?asset_id=5110,personal paddy field no. (12),3,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",1,Spring Water,,Burnt within the premises,,Yes,5,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,Fertilizer,,None,,Rainfed,,Canal Irrigation,,"[""Village Meeting ""]",10000,100,rice and maize,201-300,None,None,None,None,"[""Farmers""]","[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
5149,2019-05-13 17:52:52,Agriculture,Farm land,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Keiliya,27.60472,93.82156,Approved,https://smartvillage.imagetrekk.com/storage/images/BjoX2BmGV4V6obHUEDErHeTiG7NMaFBL2tAkW4LD.jpeg?asset_id=5149,vegetable farm 5,1,Kacha Road,3,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",2,Ground Water,,Burnt within the premises,,Yes,6,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,Ground Water,,Canal Irrigation,,"[""Others"",""Marketing team\/ Sales Agents""]",100,500,vegetables,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]"
5150,2019-05-13 17:53:00,Agriculture,Farm land,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Keiliya,27.60826,93.86547,Approved,https://smartvillage.imagetrekk.com/storage/images/OQZqXqGMJgNnFNOlD8fy6DpDAivblCPjQLQ9FKqS.jpeg?asset_id=5150,kiwi farm 10,1,Kacha Road,3,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",10,Ground Water,,Discarded in Water Bodies,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,None,,None,,Ground Water,,Canal Irrigation,,"[""Others"",""Marketing team\/ Sales Agents""]",1000,500,kiwi,101-200,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]"
5157,2019-05-13 17:54:01,Agriculture,Farm land,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Keiliya,27.62418,93.79562,Approved,https://smartvillage.imagetrekk.com/storage/images/R8CGhKj3nyVIme5IGlqNN9WG3gWfEyA4zXmVCu4V.jpeg?asset_id=5157,vegetables farm 3,1,Footway,3,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",2,Ground Water,,Burnt within the premises,,Yes,5,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,Ground Water,,Canal Irrigation,,"[""Others"",""Marketing team\/ Sales Agents""]",500,500,vegetables,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]"
5158,2019-05-13 17:54:30,Agriculture,Farm land,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Keiliya,27.63833,93.8954,Approved,https://smartvillage.imagetrekk.com/storage/images/mgWAA5RtYKwaycOluptPBqkVFDnxhmpOxeCQ0hrq.jpeg?asset_id=5158,vegetables farm 2,1,Footway,3,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",5,Ground Water,,Discarded in Water Bodies,,Yes,4,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,Ground Water,,Canal Irrigation,,"[""Others"",""Marketing team\/ Sales Agents""]",500,500,"potato ,beens",1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]"
5159,2019-05-13 17:55:00,Agriculture,Farm land,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Keiliya,27.62418,93.79562,Approved,https://smartvillage.imagetrekk.com/storage/images/lLPeRVqBGgc3CcG8IhvJfS5bpTWhHzwluREEh7Ag.jpeg?asset_id=5159,vegetables farm 3,1,Footway,3,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",2,Ground Water,,Burnt within the premises,,Yes,5,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,Ground Water,,Canal Irrigation,,"[""Others"",""Marketing team\/ Sales Agents""]",500,500,vegetables,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]"
5163,2019-05-13 17:55:41,Agriculture,Farm land,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Keiliya,27.65071,93.87145,Approved,https://smartvillage.imagetrekk.com/storage/images/o7m7rawzMnriH492rmXf5fDiFJazyX7RZsgoZVFT.jpeg?asset_id=5163,vegetable farm,1,Footway,3,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",5,Water from Government,,Discarded in Water Bodies,,Yes,4,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,Rainfed,,Canal Irrigation,,"[""Others"",""Marketing team\/ Sales Agents""]",500,500,"potato , beans",1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]"
5164,2019-05-13 17:55:47,Agriculture,Farm land,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Keiliya,27.60295,93.82156,Approved,https://smartvillage.imagetrekk.com/storage/images/22Dp3DdwQUVy7P7CvhAeSenNYtJJHlEfPduO9IAn.jpeg?asset_id=5164,kiwi farm 9,1,Footway,3,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",10,Ground Water,,Discarded in Water Bodies,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,None,,None,,Ground Water,,Canal Irrigation,,"[""Others"",""Marketing team\/ Sales Agents""]",1000,500,kiwi,101-200,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]"
5167,2019-05-13 17:56:15,Agriculture,Farm land,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Keiliya,27.64541,93.83354,Pending,https://smartvillage.imagetrekk.com/storage/images/vKhbFgok9zi6EwPsemGHP5jOIR0URzOynH6QH7Ga.jpeg?asset_id=5167,kiwi farm 8,1,Footway,3,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",10,Ground Water,,Discarded in Water Bodies,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,Ground Water,,Canal Irrigation,,"[""Others"",""Marketing team\/ Sales Agents""]",1000,500,kiwi,101-200,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]"
5185,2019-05-13 17:58:55,Agriculture,Farm land,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Keiliya,27.59764,93.89341,Approved,https://smartvillage.imagetrekk.com/storage/images/El3Aubv9lGxrsoFrI6JThxfCOhit8iYovZp5WjAm.jpeg?asset_id=5185,kiwi farm 7,1,Pakka Road,3,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",10,Ground Water,,Discarded in Water Bodies,,Yes,5,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,Ground Water,,Canal Irrigation,,"[""Others"",""Marketing team\/ Sales Agents""]",1000,500,kiwi,101-200,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]"
5299,2019-05-14 03:03:17,Agriculture,Farm land,mr yomrak kato,Private,In Use,West Siang,Kamba,Kambu,27.88821,93.47143,Approved,https://smartvillage.imagetrekk.com/storage/images/CKMaOnDctL1emPBeA2dmBEidRNqmlW1X07J3Zzab.jpeg?asset_id=5299,Private individuals,2,Kacha Road,2,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",3,Spring Water,,Discarded in Open Field,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,Pesticide,,Lath/Bamboo,,River/Stream,,Canal Irrigation,,"[""Village Meeting "",""Marketing team\/ Sales Agents""]",1500,15000,"maize, etc",1-100,None,None,None,None,"[""Farmers"",""Govt. Agencies""]","[""2 Wheeler""]"
