id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go to the fish pond until it was open?,What is the type of the road available to the fish pond?,How much distance should one travel from the fish pond to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What is the type of security available for the fish pond?,How many are employed in the fish pond?,Where do you get water for operational purposes for the fish pond?,What are the other source of water you depend upon?,How do you deal with the waste generated from the fish pond?,What are the other mechanism used to discard the waste from the fish pond?,Do you have grid connection for energy supply for the fish pond?,How many hours per day are you facing power cuts in the fish pond?,What is the alternative energy source available for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How do you maintain records for operations of the fish pond?,What other recording mechanisms are used in the asset?,What are the areas the fish pond gets support from government agencies?,Do you get any support from NGO(s) for the fish pond?,What is the name of the organization?,Are you using digital technologies that can be used in the fish pond?,For what purpose are you using digital tools here at the fish pond?,Where do you primarily procure inputs required for the Fish Pond?,What are other sources are used to get needed inputs?,What are different chemical inputs used in the fish pond?,What are different organic inputs used in the fish pond?,How does this Asset advertise about the products produced in the fish pond?,How many KGs of fish are procured from fish pond per year?,What types of fish are produced in the fish pond?,What is the average cost per unit of the products produced from the fish pond?,Which type of customers purchase the products produced in the fish pond?,How does the customers transport the goods produced from the fish pond?,How do you determine the selling price of the products?
5737,2019-05-18 05:44:28,Fisheries,Fish Pond,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57214,93.8459,Approved,https://smartvillage.imagetrekk.com/storage/images/zfGOKOGepOZEORNWr2VJy5a83HVg12AAPmAQ2Mo5.jpeg?asset_id=5737,private fish farm no. 5 at Dobi Putu,3,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Compound Wall\/ Fencing""]",3,Ground Water,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,Local Supplier,,"[""Fertilizer""]","[""Fertilizer""]","[""Village Meeting""]",200,"common carp, silver carp",300,"[""Farmers""]","[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]",Based on market price
5767,2019-05-18 10:34:08,Fisheries,Fish Pond,kago yubbey,Private,In Use,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.56005,93.8483,Approved,https://smartvillage.imagetrekk.com/storage/images/Yllf6HWkIzqNmUulrpOtEBVOyBsoehPqTwub6KhA.jpeg?asset_id=5767,fish pond,1,Kacha Road,4,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Compound Wall\/ Fencing""]",1,River or Canal,,Discarded in Open Field,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,None,,"[""None""]","[""Weedicides""]","[""Village Meeting""]",100,"common carp, grass carp",200,"[""Farmers""]","[""Others""]",Other
5967,2019-05-21 11:15:07,Fisheries,Fish Pond,karik tamuk,Private,Repairable,East Siang,Sille-Oyan,Sika-Bamin,27.91769,95.34714,Rejected,https://smartvillage.imagetrekk.com/storage/images/Dui9njat7BOBbxld3ARWMmtAQgCoHLUuiPv4slwW.jpeg?asset_id=5967,talung pabin 40mx 12m depth 4m,1,Footway,6,4G+ Reliable,"[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""None""]",1,River or Canal,,None,,No,,None,,,,,,,Others,notebook record,"[""None""]",no,,No,,None,,"[""None""]","[""None""]","[""Village Meeting""]",500,"silver carp, catla",200,"[""Farmers""]","[""Head Load"",""2 Wheeler"",""Sumo\/Tracker""]",Based on market price
6633,2019-05-28 07:00:43,Fisheries,Fish Pond,nending tasser,Private,Repairable,Lower Subansiri,Ziro,Hari,27.58973,93.85088,Pending,https://smartvillage.imagetrekk.com/storage/images/LJ0CsrS5HCLNKuMNpHIOIo0PSVQplUGo9RxqnPuN.jpeg?asset_id=6633,fish pond,2,Kacha Road,2,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]",3,Ground Water,,Discarded in Water Bodies,,No,,None,,,,,,,Others,no record maintain,"[""None""]",no,,No,,None,,"[""None""]","[""None""]","[""Others""]",150,common carp,300,"[""Farmers"",""Others""]","[""Head Load"",""Tempo\/Auto""]",Based on market price
6767,2019-05-29 06:13:29,Fisheries,Fish Pond,nending tasser,Private,In Use,Lower Subansiri,Ziro,Hari,27.58261,93.84174,Approved,https://smartvillage.imagetrekk.com/storage/images/5yboeqCSF6mULfqfXcb7sFy3U99dX0MyV6YXTtPD.jpeg?asset_id=6767,fish pond,1,Pakka Road,2,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]",1,River or Canal,,Discarded in Open Field,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,Local Supplier,,"[""Others""]","[""Others""]","[""Others""]",2500,"grass carp,common carp",10000,"[""Farmers"",""Others""]","[""Head Load""]",Based on market price
6861,2019-05-31 05:30:52,Fisheries,Fish Pond,ngilyang thaka,Private,In Use,Lower Subansiri,Ziro,Lempiya,27.57947,93.88691,Approved,https://smartvillage.imagetrekk.com/storage/images/jK0iZRjYKYcCX0j8cwiiawBJtUovc26zuIWSb6cm.jpeg?asset_id=6861,fidh pond 2,1,Kacha Road,3,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Compound Wall\/ Fencing""]",1,Ground Water,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,Local Supplier,,"[""None""]","[""None""]","[""Others""]",2500,common carp,220,"[""Farmers"",""Others""]","[""2 Wheeler""]",Based on market price
6866,2019-05-31 06:22:13,Fisheries,Fish Pond,ngilyang thaka,Private,Repairable,Lower Subansiri,Ziro,Lempiya,27.57947,93.87318,Pending,https://smartvillage.imagetrekk.com/storage/images/WQ1nkkvPIdWniPpK2Tuhs2HSVQH2YJNsLNVpMJhk.jpeg?asset_id=6866,fidh pond 3,1,Footway,5,2G Unreliable,"[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""None""]",1,Ground Water,,Discarded in Open Field,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,None,,"[""None""]","[""None""]","[""Others"",""Village Meeting""]",300,common carp,280,"[""Farmers"",""Others""]","[""Head Load""]",Based on market price
6906,2019-06-01 13:40:58,Fisheries,Fish Pond,ngilyang thaka,Private,In Use,Lower Subansiri,Ziro,Lempiya,27.67924,93.82648,Approved,https://smartvillage.imagetrekk.com/storage/images/lQH4ewPIOaAQWDWlu5aS5mvTZByJAbZpSfIFJWJ8.jpeg?asset_id=6906,fish pond 4,3,Pakka Road,1,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Compound Wall\/ Fencing"",""Watchman""]",2,Water from Government,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,None,,"[""None""]","[""None""]","[""Village Meeting""]",20000,common carp,200,"[""Farmers"",""Research agencies"",""NGO""]","[""Tempo\/Auto""]",Based on market price
6931,2019-06-03 08:54:36,Fisheries,Fish Pond,ngilyang thaka,Private,In Use,Lower Subansiri,Ziro,Lempiya,27.5746,93.8512,Pending,https://smartvillage.imagetrekk.com/storage/images/Db4WNl0ycS1mhThyRYCm7BInnNgz8rS2q5CUxYdp.jpeg?asset_id=6931,fish pond 5,3,Pakka Road,2,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Compound Wall\/ Fencing""]",2,Ground Water,,Discarded in Open Field,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,None,,"[""Fertilizer""]","[""None""]","[""Village Meeting""]",6000,common carp,200,"[""Farmers"",""Others""]","[""2 Wheeler""]",Based on market price
6932,2019-06-03 09:07:53,Fisheries,Fish Pond,ngilyang thaka,Private,In Use,Lower Subansiri,Ziro,Lempiya,27.5746,93.8512,Rejected,https://smartvillage.imagetrekk.com/storage/images/9ZZdfoXDXiat1egCJAnH1erz6veBt3DjJFukvT8j.jpeg?asset_id=6932,fish pond 5,3,Pakka Road,2,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Compound Wall\/ Fencing""]",2,Ground Water,,Discarded in Open Field,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,None,,"[""Fertilizer""]","[""None""]","[""Village Meeting""]",6000,common carp,200,"[""Farmers"",""Others""]","[""2 Wheeler""]",Based on market price
6933,2019-06-03 11:47:48,Fisheries,Fish Pond,ngilyang thaka,Private,In Use,Lower Subansiri,Ziro,Lempiya,27.5746,93.8512,Rejected,https://smartvillage.imagetrekk.com/storage/images/hQZuOIrYbxmEqzHFkxM8urCt3rKmgyfCKoLc3mVQ.jpeg?asset_id=6933,fish pond 5,3,Pakka Road,2,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Compound Wall\/ Fencing""]",2,Ground Water,,Discarded in Open Field,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,None,,"[""Fertilizer""]","[""None""]","[""Village Meeting""]",6000,common carp,200,"[""Farmers"",""Others""]","[""2 Wheeler""]",Based on market price
7049,2019-06-06 01:30:21,Fisheries,Fish Pond,ngilyang thaka,Private,In Use,Lower Subansiri,Ziro,Lempiya,27.64274,93.86219,Approved,https://smartvillage.imagetrekk.com/storage/images/yblwaj2JmUIOLOYoub837axoJr7pccrKlTZRWDnX.jpeg?asset_id=7049,fish pond owned by rubu hachang at upper lempia,2,Pakka Road with Block Point,2,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Compound Wall\/ Fencing""]",2,Ground Water,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,None,,"[""None""]","[""None""]","[""Village Meeting""]",15000,common carp,200,"[""Farmers"",""Govt. Agencies"",""NGO"",""Others""]","[""Tempo\/Auto""]",Based on market price
7169,2019-06-07 09:09:51,Fisheries,Fish Pond,tilling saha,Private,In Use,Lower Subansiri,Ziro,Taring,27.51775,93.8275,Approved,https://smartvillage.imagetrekk.com/storage/images/imTkpHku8x2aAsI45n2mH5ToXymXqadAnoLyDOus.jpeg?asset_id=7169,taring fish pond 4,1,Kacha Road,4,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]",1,River or Canal,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,None,,"[""None""]","[""None""]","[""Others""]",3000,apatani local fish,200,"[""Others""]","[""Head Load"",""2 Wheeler"",""Tempo\/Auto""]",Based on market price
7170,2019-06-07 09:09:57,Fisheries,Fish Pond,tilling saha,Private,In Use,Lower Subansiri,Ziro,Taring,27.51801,93.82838,Approved,https://smartvillage.imagetrekk.com/storage/images/IHexmApjgk18aD48OI7XBolq8mVo0t1zIiVyx8iv.jpeg?asset_id=7170,taring fish pond 3,1,Kacha Road,4,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]",1,River or Canal,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,None,,"[""None""]","[""None""]","[""Others""]",1500,apatani local fish,200,"[""Others""]","[""Head Load"",""2 Wheeler"",""Tempo\/Auto""]",Based on market price
7171,2019-06-07 09:10:10,Fisheries,Fish Pond,tilling saha,Private,In Use,Lower Subansiri,Ziro,Taring,27.51811,93.82772,Approved,https://smartvillage.imagetrekk.com/storage/images/offI4f9XNsNlInKOudpDNGta2uf6nIqLNXBRRj5c.jpeg?asset_id=7171,taring fish farm 2,1,Kacha Road,4,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]",1,River or Canal,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,None,,"[""Others""]","[""Others""]","[""Others""]",1000,apatani local fish,200,"[""Farmers"",""Others""]","[""Head Load"",""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker""]",Based on market price
7173,2019-06-07 09:10:27,Fisheries,Fish Pond,tilling saha,Private,Not in Use,Lower Subansiri,Ziro,Taring,27.5274,93.83174,Rejected,https://smartvillage.imagetrekk.com/storage/images/fZwu1JbMnpAxmN5uxJaFySTlgXNwUhOIjFN2mXnU.jpeg?asset_id=7173,fish pond taring,1,Pakka Road,2.5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]",1,River or Canal,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,Local Supplier,,"[""None""]","[""None""]","[""Others""]",1,carp family,200,"[""Farmers"",""Research agencies"",""Govt. Agencies"",""NGO""]","[""2 Wheeler""]",Based on market price
7188,2019-06-07 09:14:54,Fisheries,Fish Pond,tilling saha,Private,In Use,Lower Subansiri,Ziro,Bamin,27.56969,93.82853,Approved,https://smartvillage.imagetrekk.com/storage/images/YzWh45SaYpnAD1ttNqstTdYUkHFfNXj86wTcajP3.jpeg?asset_id=7188,fish pond of tamo bhai,1,Pakka Road,0.5,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]",1,Water from Government,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,None,,"[""Others""]","[""Others""]","[""Others""]",20,apatani local fish,120,"[""Farmers"",""Others""]","[""Head Load""]",Based on market price
7203,2019-06-08 07:18:59,Fisheries,Fish Pond,taakhe rakesh,Private,Repairable,Lower Subansiri,Ziro,Hong,27.5239,93.83374,Rejected,https://smartvillage.imagetrekk.com/storage/images/Q4J3SDbHh5bl4lCM7uYq776AH3gMX5NlknMH6Q85.jpeg?asset_id=7203,take fish farm,1,Pakka Road with Block Point,3,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Compound Wall\/ Fencing""]",1,River or Canal,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,Supplier in other states,,"[""Others""]","[""None""]","[""Others""]",100,local fish,100,"[""Farmers"",""Research agencies"",""Govt. Agencies"",""NGO""]","[""Sumo\/Tracker"",""Tempo\/Auto""]",Based on market price
7206,2019-06-08 08:35:40,Fisheries,Fish Pond,taakhe rakesh,Private,Repairable,Lower Subansiri,Ziro,Hong,27.5239,93.83374,Rejected,https://smartvillage.imagetrekk.com/storage/images/zuOotCuRmOmQ6lvOEr37QGGGySFFT8VmvCEXDg6s.jpeg?asset_id=7206,take fish farm,1,Pakka Road with Block Point,3,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Compound Wall\/ Fencing""]",1,River or Canal,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,Supplier in other states,,"[""Others""]","[""None""]","[""Others""]",100,local fish,100,"[""Farmers"",""Research agencies"",""Govt. Agencies"",""NGO""]","[""Sumo\/Tracker"",""Tempo\/Auto""]",Based on market price
734,2019-02-08 13:36:39,Fisheries,Fish Pond,nabam dimin,Private,In Use,Lower Subansiri,Yachuli,Yoglo,27.59289,93.66863,Rejected,https://smartvillage.imagetrekk.com/storage/images/oBG2jwwcQaiqGR6LbZ92McLLwm0MsDa1W5Uck7W6.jpeg?asset_id=734,they are not satisfied,2,Kacha Road with Block Point,2,2G Reliable,"[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""None""]",2,Ground Water,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,Local Supplier,,"[""None""]","[""None""]","[""Village Meeting""]",200,"common carp, silver carp,magor",150,"[""None""]","[""2 Wheeler""]",Dependent on buyers price
764,2019-02-11 03:07:11,Fisheries,Fish Pond,shri joram nera,Private,In Use,Lower Subansiri,Yachuli,Jara,27.52657,93.77058,Approved,https://smartvillage.imagetrekk.com/storage/images/hqM6dz1Ri7EYuls1gvEaPohtk4ilokcdKJNk1nbG.jpeg?asset_id=764,-,2,Pakka Road,0.1,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]",0,Ground Water,,Discarded in Open Field,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,None,,"[""None""]","[""None""]","[""Others"",""Village Meeting""]",40,"Common carp, grass carp, silver carp, catla",200,"[""Farmers"",""Others""]","[""Others""]",Based on market price
809,2019-02-11 12:33:48,Fisheries,Fish Pond,phassang kamak,Private,In Use,Papumpare,Banderdewa,Kharsingsa Village,27.12242,93.79607,Approved,https://smartvillage.imagetrekk.com/storage/images/8E0O3smGpeyljjo3UMlNKcosMGg5W15wWFUFmGrZ.jpeg?asset_id=809,-,1,Kacha Road,1,2G Reliable,"[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""None""]",1,Ground Water,,None,,No,,None,,,,,,,Traditional Book Keeping,,"[""None"",""Support via Subsidies""]",no,,No,,Local Supplier,,"[""Fertilizer"",""None""]","[""None"",""Fertilizer""]","[""Posters\/ Display Boards""]",500,Ras carp,70000,"[""Farmers"",""Research agencies"",""Others""]","[""2 Wheeler"",""Head Load""]",Bargaining
810,2019-02-11 12:34:00,Fisheries,Fish Pond,phassang kamak,Private,In Use,Papumpare,Banderdewa,Kharsingsa Village,27.12242,93.79607,Rejected,https://smartvillage.imagetrekk.com/storage/images/UtNT7eh7ywqILC14BebtQTDHdc4HvxwcwsIrcdbj.jpeg?asset_id=810,-,1,Kacha Road,1,2G Reliable,"[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""None""]",1,Ground Water,,None,,No,,None,,,,,,,Traditional Book Keeping,,"[""None"",""Support via Subsidies""]",no,,No,,Local Supplier,,"[""Fertilizer"",""None""]","[""None"",""Fertilizer""]","[""Posters\/ Display Boards""]",500,Ras carp,70000,"[""Farmers"",""Research agencies"",""Others""]","[""2 Wheeler"",""Head Load""]",Bargaining
811,2019-02-11 12:34:12,Fisheries,Fish Pond,phassang kamak,Private,In Use,Papumpare,Banderdewa,Kharsingsa Village,27.12242,93.79607,Rejected,https://smartvillage.imagetrekk.com/storage/images/JZJMTExDwl8YfOR88aEqK9dLY2TgRKtnUFilz35t.jpeg?asset_id=811,-,1,Kacha Road,1,2G Reliable,"[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""None""]",1,Ground Water,,None,,No,,None,,,,,,,Traditional Book Keeping,,"[""None"",""Support via Subsidies""]",no,,No,,Local Supplier,,"[""Fertilizer"",""None""]","[""None"",""Fertilizer""]","[""Posters\/ Display Boards""]",500,Ras carp,70000,"[""Farmers"",""Research agencies"",""Others""]","[""2 Wheeler"",""Head Load""]",Bargaining
812,2019-02-11 12:34:20,Fisheries,Fish Pond,phassang kamak,Private,In Use,Papumpare,Banderdewa,Kharsingsa Village,27.12242,93.79607,Rejected,https://smartvillage.imagetrekk.com/storage/images/IBWIY0H490Jw0YanA6uC4HSF6KKQ7YcGKJmX6Zs2.jpeg?asset_id=812,-,1,Kacha Road,1,2G Reliable,"[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""None""]",1,Ground Water,,None,,No,,None,,,,,,,Traditional Book Keeping,,"[""None"",""Support via Subsidies""]",no,,No,,Local Supplier,,"[""Fertilizer"",""None""]","[""None"",""Fertilizer""]","[""Posters\/ Display Boards""]",500,Ras carp,70000,"[""Farmers"",""Research agencies"",""Others""]","[""2 Wheeler"",""Head Load""]",Bargaining
813,2019-02-11 12:34:34,Fisheries,Fish Pond,phassang kamak,Private,In Use,Papumpare,Banderdewa,Kharsingsa Village,27.12242,93.79607,Rejected,https://smartvillage.imagetrekk.com/storage/images/EXcc6PuadijixPdGOx4PEdTn4cmlAtCh0EuIT0Fw.jpeg?asset_id=813,-,1,Kacha Road,1,2G Reliable,"[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""None""]",1,Ground Water,,None,,No,,None,,,,,,,Traditional Book Keeping,,"[""None"",""Support via Subsidies""]",no,,No,,Local Supplier,,"[""Fertilizer"",""None""]","[""None"",""Fertilizer""]","[""Posters\/ Display Boards""]",500,Ras carp,70000,"[""Farmers"",""Research agencies"",""Others""]","[""2 Wheeler"",""Head Load""]",Bargaining
814,2019-02-11 12:34:34,Fisheries,Fish Pond,phassang kamak,Private,In Use,Papumpare,Banderdewa,Kharsingsa Village,27.12242,93.79607,Rejected,https://smartvillage.imagetrekk.com/storage/images/CZLM9GHQZsM83TfsqDMSkwKtSIqrlKmxDVZdkTag.jpeg?asset_id=814,-,1,Kacha Road,1,2G Reliable,"[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""None""]",1,Ground Water,,None,,No,,None,,,,,,,Traditional Book Keeping,,"[""None"",""Support via Subsidies""]",no,,No,,Local Supplier,,"[""Fertilizer"",""None""]","[""None"",""Fertilizer""]","[""Posters\/ Display Boards""]",500,Ras carp,70000,"[""Farmers"",""Research agencies"",""Others""]","[""2 Wheeler"",""Head Load""]",Bargaining
1118,2019-02-15 14:03:37,Fisheries,Fish Pond,nemcha nyoungja,Private,In Use,Changlang,Changlang,Changlang (CT),27.14352,95.73775,Pending,https://smartvillage.imagetrekk.com/storage/images/K12EXp0GDcIuPCvzSt7oZlZWkSCSXsvlCqsbceSr.jpeg?asset_id=1118,Village name is Old Changlang,1,Footway,2,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Compound Wall\/ Fencing""]",0,Water from Government,,Burnt within the premises,,No,,None,,,,,,,Others,nil,"[""None""]",no,,No,,Others,river,"[""None""]","[""None""]","[""Others""]",5,local fish,350,"[""None""]","[""2 Wheeler""]",Based on market price
