id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go to the farm land until it was open and accesible?,What is the type of the road available to the farm land?,How much distance should one travel from the farm land to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the farm land?,What are different Mobile network service providers available at the location of the farm land?,What is the type of structure of the farm land?,What is the type of security available for the farm land?,How many are employed in the farm land?,Where do you get water for operational purposes for the farm land?,How do you deal with the agricultural waste generated from the farm land?,Are the premises of farm land cleaned with disinfectant regularly?,How frequently are the premises at the farm land cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the farm land?,How many hours per day are you facing power cuts in the farm land?,What is the alternative energy source available for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How do you maintain records for operations of the farm land?,What are the areas the farm land gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the farm land?,Are you using digital technologies that can be used in the farm land?,Where do you procure inputs required for the farm land?,What are different chemical inputs used in the farm land?,What is the type of covering material used in the farm land?,What is the water source used for irrigation mechanism?,What is the type of irrigation mechanism used in the farm land?,How does the farm land advertise about the services available?,What is the average operational cost per month to run the farm land?(Excluding Salary of the Employees),How much amount of products are produced in the farm land in a year?(In K.G),What is the type of agriculture products produced in the farm land?,What is the average cost per K.G of the products produced from the farm land?(In Rupees),Which type of customers purchase the products produced in the farm land?,How does the customers transport the goods produced from the farm land?
5519,Agriculture,Farm land,Lower Subansiri,Ziro,Modang Tage,27.5724,93.83071,8,kacha road,5.0,3g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,spring water,burnt within the premises,yes,7,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,none,rainfed,canal irrigation,village meeting,10000,85,rice and millet,101-200,farmers,2 wheeler#tempo\/auto#sumo\/tracker
5520,Agriculture,Farm land,Lower Subansiri,Ziro,Modang Tage,27.573390000000003,93.83083,5,kacha road,5.0,3g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,spring water,burnt within the premises,yes,7,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,none,rainfed,canal irrigation,village meeting,10000,52,rice and wheat,201-300,farmers,2 wheeler#tempo\/auto#sumo\/tracker
5552,Agriculture,Farm land,Lower Subansiri,Ziro,Modang Tage,27.566370000000006,93.84103,2,kacha road,5.0,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,1,spring water,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,none,rainfed,sprinklers,village meeting,10000,100,kiwi,201-300,farmers,head load#2 wheeler#tempo\/auto
5553,Agriculture,Farm land,Lower Subansiri,Ziro,Modang Tage,27.566340000000004,93.84097,3,kacha road,5.0,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,1,spring water,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,none,rainfed,sprinklers,village meeting,10000,100,kiwi,201-300,farmers,2 wheeler#tempo\/auto#head load#others
5624,Agriculture,Farm land,Lower Subansiri,Ziro,Modang Tage,27.56803,93.84593,3,kacha road,5.0,3g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,2,spring water,burnt within the premises,yes,7,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,lath/bamboo,rainfed,sprinklers,village meeting,0,1000,"bamboo, kiwi, maize, every vegetables etc",101-200,farmers,2 wheeler#tempo\/auto#sumo\/tracker
5735,Agriculture,Farm land,Lower Subansiri,Ziro,Modang Tage,27.57109,93.84534,2,kacha road,5.0,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,2,spring water,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,none,rainfed,sprinklers,village meeting,10000,250,kiwi fruits,201-300,farmers,2 wheeler#tempo\/auto#sumo\/tracker#others
5736,Agriculture,Farm land,Lower Subansiri,Ziro,Modang Tage,27.56949,93.84584,3,pakka road,5.0,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,2,spring water,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,lath/bamboo,rainfed,sprinklers,village meeting,10000,100,kiwi fruits,201-300,farmers,2 wheeler#tempo\/auto#sumo\/tracker#others
5839,Agriculture,Farm land,Lower Subansiri,Ziro,Hari,27.5765,93.84677,1,kacha road,2.5,2g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,2,others,discarded in open field,yes,3,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,others,15000,2000,kiwi,1-100,farmers#others,head load
5841,Agriculture,Farm land,Lower Subansiri,Ziro,Hari,27.577790000000004,93.84813,1,kacha road,2.5,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,1,others,discarded in open field,yes,2,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,others,10000,1500,kiwi,1-100,farmers#others,head load
5865,Agriculture,Farm land,Lower Subansiri,Ziro,Hari,27.57758,93.84528,1,pakka road,2.0,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,2,others,discarded in open field,yes,2,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,others,30000,10000,kiwi,1-100,farmers#others,head load
5952,Agriculture,Farm land,Lower Subansiri,Yachuli,Jara,27.51786,93.77784,6,pakka road,0.5,2g reliable,airtel#vodafone,"kacha/temporary(wood,bamboo,etc.,)",none,0,river or canal,discarded in open field,no,N/A,no,N/A,none,N/A,others,none,no,no,none,none,lath/bamboo,river/stream,others,others,5000,500,rice only,1-100,none#farmers#others,head load#sumo\/tracker#mini luggage transport vehicle
5953,Agriculture,Farm land,Lower Subansiri,Yachuli,Jara,27.51876,93.77779,11,pakka road,0.5,2g reliable,vodafone#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,others,discarded in open field,no,N/A,no,N/A,none,N/A,others,none,no,no,none,none,lath/bamboo,rainfed,others,others,1000,1000,bamboo garden,1-100,farmers#ngo#others,mini luggage transport vehicle#huge luggage transport vehicle#head load
6257,Agriculture,Farm land,Lower Subansiri,Ziro,Michi,27.589270000000006,93.85053,3,footway,2.0,2g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,10,ground water,discarded in water bodies,no,N/A,no,N/A,none,N/A,others,none,no,no,none,pesticide,none,ground water,others,others,5000,80000,crop and til,>300,others,head load
6343,Agriculture,Farm land,Lower Subansiri,Ziro,Hari,27.58533,93.85271,1,kacha road,3.5,2g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1,others,discarded in open field,yes,2,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,others,10000,15000,kiwu,1-100,farmers#others,head load
6345,Agriculture,Farm land,Lower Subansiri,Ziro,Hari,27.58616,93.85461,1,kacha road,3.5,2g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1,river or canal,discarded in open field,yes,2,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,canal irrigation,others,10000,15000,kiwi,1-100,farmers#others,head load
6358,Agriculture,Farm land,Lower Subansiri,Ziro,Hari,27.58568,93.85603,1,kacha road,3.5,2g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1,water from government,discarded in open field,yes,3,yes,2.0,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,others,10000,20000,kiwi,1-100,farmers#others,head load
6366,Agriculture,Farm land,Lower Subansiri,Ziro,Hari,27.58327,93.85791,1,kacha road,3.5,2g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1,others,discarded in open field,yes,2,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,others,15000,2000,kiwi,1-100,farmers#others,head load
6368,Agriculture,Farm land,Lower Subansiri,Ziro,Hari,27.58325,93.85536,1,kacha road,3.8,2g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1,others,discarded in open field,yes,2,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,others,5000,2000,kiwi,1-100,farmers#others,head load
6369,Agriculture,Farm land,Lower Subansiri,Ziro,Hari,27.58308,93.85717,1,kacha road,3.5,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,1,others,discarded in open field,yes,2,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,others,15000,25000,kiwi,1-100,farmers#others,head load
6382,Agriculture,Farm land,Lower Subansiri,Ziro,Hari,27.57947,93.85863,1,kacha road,3.5,2g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1,others,discarded in open field,yes,2,yes,2.0,none,N/A,traditional book keeping,none,no,no,local supplier,none,none,rainfed,others,others,15000,3000,kiwi,1-100,farmers#others,head load
6392,Agriculture,Farm land,Lower Subansiri,Ziro,Hari,27.57866,93.85808,1,kacha road,3.5,2g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1,others,discarded in open field,yes,2,yes,2.0,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,others,5000,200,kiwi,1-100,farmers#others,head load
6407,Agriculture,Farm land,Lower Subansiri,Ziro,Hari,27.58016,93.85513,1,kacha road,3.5,2g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1,others,discarded in open field,yes,2,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,others,5000,15000,kiwi,1-100,farmers#others,head load
6629,Agriculture,Farm land,Lower Subansiri,Ziro,Hari,27.589340000000004,93.85018,1,kacha road,2.0,2g unreliable,airtel#vodafone#bsnl,"kacha/temporary(wood,bamboo,etc.,)",others,15,ground water,discarded in open field,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,pesticide,lath/bamboo,ground water,others,others,5000,500,crop,201-300,others,head load
6683,Agriculture,Farm land,West Siang,Kamba,Kambu,28.26717,94.6834,2,kacha road,5.0,3g reliable,vodafone#airtel#bsnl,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,2,ground water,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,lath/bamboo,river/stream,canal irrigation,posters\/ display boards,200,30000,"rice,mize",101-200,others,head load
6878,Agriculture,Farm land,West Kameng,Dirang,Dirang,28.13312,93.58753,1,footway,0.2,4g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,2,spring water,none,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,none,fertilizer,none,rainfed,others,others,800,50,maize and wheat,1-100,none,head load
6879,Agriculture,Farm land,West Kameng,Dirang,Dirang,27.33756,92.27288,1,footway,0.2,4g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,2,water from government,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,none,fertilizer,none,rainfed,drip irrigation,others,500,50,maize and wheat,1-100,none,head load
6880,Agriculture,Farm land,West Kameng,Dirang,Dirang,27.34115,92.96549,1,footway,0.3,4g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,2,water from government,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,none,fertilizer,none,rainfed,drip irrigation,others,500,50,maize and wheat,1-100,none,head load
6960,Agriculture,Farm land,Lower Subansiri,Ziro,Hari,27.58655,93.85525,1,kacha road,4.0,2g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,2,river or canal,discarded in open field,no,N/A,no,N/A,none,N/A,others,none,no,no,others,none,none,river/stream,canal irrigation,others,10000,5000,rice,201-300,farmers#others,head load
7041,Agriculture,Farm land,Lower Subansiri,Ziro,Lempiya,27.62328,93.86494,8,pakka road with block point,2.0,2g reliable,vodafone#idea#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1,water from government,burnt within the premises,yes,>7,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,none,none,rainfed,canal irrigation,village meeting#others,1000,1500,"beans, cauliflower, ginger, cucumber, cabbage, corn, green vegitables, tomato, etc.",101-200,farmers#ngo#others,sumo\/tracker
7043,Agriculture,Farm land,Lower Subansiri,Ziro,Lempiya,27.59894,93.84846,2,kacha road,2.0,2g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1,ground water,burnt within the premises,yes,3,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,none,ground water,others,village meeting,700,1500,"cabbage, califlower, beans, etc",>300,none,head load
7065,Agriculture,Farm land,Lower Subansiri,Ziro,Lempiya,27.559990000000006,93.83747,6,pakka road with block point,2.0,2g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1,water from government,burnt within the premises,yes,7,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,none,rainfed,canal irrigation,others,800,1500,"kiwi, green vegetable, cabbage, cauliflower, beans, corn, chilli, pears, etc.",1-100,farmers#others,tempo\/auto
7066,Agriculture,Farm land,Lower Subansiri,Ziro,Lempiya,27.56973,93.81825,1,footway,54.0,2g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1,others,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,none,rainfed,others,others,1000,2500,kiwi anfcorn,>300,none,head load#2 wheeler
7067,Agriculture,Farm land,Lower Subansiri,Ziro,Lempiya,27.5746,93.8155,1,footway,3.0,2g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1,water from government,burnt within the premises,yes,4,no,N/A,none,N/A,traditional book keeping,none,no,no,none,fertilizer,none,rainfed,others,village meeting,800,2000,"cabbage, cauliflower, corn, bean, green vegetables, tomatos, chilli,etc.",1-100,ngo#others,2 wheeler
7124,Agriculture,Farm land,Lower Subansiri,Ziro,Lempiya,27.65734,93.80451,1,kacha road,9.0,nil,N/A,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing#watchman,5,others,burnt within the premises,yes,1,no,N/A,none,N/A,traditional book keeping,none#financial support,no,no,none,none,none,rainfed,others,posters\/ display boards,20000,100000,kiwi,>300,farmers#research organizations#govt. agencies#ngo#others,tempo\/auto
7126,Agriculture,Farm land,Lower Subansiri,Ziro,Lempiya,27.62085,93.79078,2,footway,7.0,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing#watchman,3,water from government,burnt within the premises,yes,1,no,N/A,none,N/A,traditional book keeping,none#financial support,no,no,none,none,none,rainfed,others,posters\/ display boards,5000,100000,"tamato, chilli, cabbage, cauliflower, vegetables, etc.",1-100,farmers#others,head load
7165,Agriculture,Farm land,Lower Subansiri,Ziro,Taring,27.52627,93.83129,1,pakka road with block point,2.5,3g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,5,spring water,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,none,none,rainfed,sprinklers,others,2000,5000,vegetables,1-100,farmers#research organizations#govt. agencies#ngo,2 wheeler#tempo\/auto#sumo\/tracker
7166,Agriculture,Farm land,Lower Subansiri,Ziro,Taring,27.5262,93.8312,1,pakka road,3.5,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",watchman,2,river or canal,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,none,ground water,sprinklers,others,2000,50000,vegetarian n maize,101-200,others#farmers,head load#2 wheeler#tempo\/auto
7211,Agriculture,Farm land,Lower Subansiri,Ziro,Hong,27.52342,93.83571,1,kacha road,3.5,3g unreliable,vodafone#idea#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",watchman,2,water from government,burnt within the premises,yes,5,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,none,rainfed,sprinklers,others,2000,1000,kiwi,101-200,farmers#research organizations#govt. agencies#ngo,head load#2 wheeler#tempo\/auto#sumo\/tracker
7212,Agriculture,Farm land,Lower Subansiri,Ziro,Hong,27.52353,93.83565,1,kacha road,3.5,3g unreliable,vodafone#bsnl#idea#airtel,"kacha/temporary(wood,bamboo,etc.,)",watchman,1,water from government,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,none,rainfed,sprinklers,others,1000,2000,maize,1-100,farmers#ngo#govt. agencies#research organizations,head load#2 wheeler#tempo\/auto#sumo\/tracker
7216,Agriculture,Farm land,Lower Subansiri,Ziro,Hong,27.5202,93.8393,1,pakka road with block point,3.5,3g unreliable,idea#vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1,river or canal,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,none,rainfed,sprinklers,others,1000,5000,vegetable,1-100,farmers#research organizations#govt. agencies#ngo,head load#2 wheeler#tempo\/auto
7220,Agriculture,Farm land,Lower Subansiri,Ziro,Hong,27.50992,93.84097,1,kacha road with block point,9.0,3g unreliable,airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,5,water from government,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,none,rainfed,sprinklers,others,1500,5000,kiwi,101-200,farmers#research organizations#govt. agencies#ngo,head load#2 wheeler#tempo\/auto#sumo\/tracker
7221,Agriculture,Farm land,Lower Subansiri,Ziro,Hong,27.51039,93.84002,1,kacha road with block point,10.0,3g unreliable,others,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,5,river or canal,burnt within the premises,no,N/A,yes,2.0,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,none,rainfed,sprinklers,others,1500,1000,kiwi,101-200,farmers#research organizations#govt. agencies#ngo,head load#2 wheeler#tempo\/auto#sumo\/tracker
7280,Agriculture,Farm land,Lower Subansiri,Ziro,Kalong,27.59356,93.8424,1,pakka road,1.0,2g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,ground water,burnt within the premises,yes,>7,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,lath/bamboo,ground water,others,village meeting,300,20,local rices,1-100,farmers,head load
1009,Agriculture,Farm land,Changlang,Changlang,Changlang (CT),27.145640000000004,95.73727,1,footway,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,others,none,no,N/A,no,N/A,none,N/A,others,none,no,no,none,none,none,rainfed,others,others,2000,10000,palm leave,1-100,others,mini luggage transport vehicle
1021,Agriculture,Farm land,Tirap,Khonsa,Kheti,26.97114,95.5057,1,pakka road,0.0,4g+ reliable,jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,ground water,discarded in open field,no,N/A,no,N/A,none,N/A,others,none,no,no,none,none,none,ground water,others,village meeting,10000,25000,fern leaf plantations garden,1-100,farmers,head load#2 wheeler#tempo\/auto#sumo\/tracker#mini luggage transport vehicle
1065,Agriculture,Farm land,Papumpare,Doimukh,Chiputa,27.17708,93.78492,6,kacha road,2.5,3g reliable,vodafone#airtel#jio,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,2,spring water,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,lath/bamboo,rainfed,others,others,15000,20000,bamboo banana,1-100,farmers#others,huge luggage transport vehicle
1072,Agriculture,Farm land,Lower Subansiri,Yachuli,Jara,27.52806,93.77847,4,pakka road,0.0,2g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,river or canal,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,none,none,lath/bamboo,river/stream,others,others#village meeting,0,5000,bamboo,1-100,farmers#others,mini luggage transport vehicle#huge luggage transport vehicle
1074,Agriculture,Farm land,Lower Subansiri,Yachuli,Jara,27.52892,93.77355,4,pakka road,0.3,3g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,others,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,none,none,lath/bamboo,rainfed,others,others,0,16000,bamboo,1-100,others#farmers,mini luggage transport vehicle#huge luggage transport vehicle
1075,Agriculture,Farm land,Lower Subansiri,Yachuli,Jara,27.52828,93.77871,4,pakka road,0.2,2g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,river or canal,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,none,none,lath/bamboo,river/stream,others,others#village meeting,0,30000,large cardamon,>300,others#farmers,huge luggage transport vehicle#mini luggage transport vehicle
1083,Agriculture,Farm land,Changlang,Changlang,Changlang (CT),27.13411,95.74397,5,kacha road,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,2,water from government,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,lath/bamboo,others,sprinklers,others,1000,20,green vegetables,1-100,others,head load#2 wheeler
1085,Agriculture,Farm land,Changlang,Changlang,Changlang (CT),27.134090000000004,95.74459,4,pakka road with block point,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1,water from government,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,none,none,rainfed,others,others,0,15,lichi trees,1-100,others,head load#2 wheeler
1087,Agriculture,Farm land,Changlang,Changlang,Changlang (CT),27.13545,95.74461,5,pakka road with block point,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,2,water from government,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,none,lath/bamboo,rainfed,others,others,0,10,arecanut,1-100,others,head load#2 wheeler
1093,Agriculture,Farm land,Tirap,Khonsa,Kheti,26.9741,95.50438,1,pakka road,0.0,4g+ reliable,airtel#jio,"kacha/temporary(wood,bamboo,etc.,)",none,1,ground water,burnt within the premises,yes,6,no,N/A,none,N/A,others,none,no,no,none,fertilizer,none,river/stream,sprinklers,village meeting,0,10,cardamon,201-300,farmers,tempo\/auto
1094,Agriculture,Farm land,Tirap,Khonsa,Kheti,26.97735,95.50307,1,pakka road,0.0,4g+ reliable,jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,5,ground water,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,none,others,none,ground water,others,village meeting,25000,25000,tea leaf,>300,others,tempo\/auto#sumo\/tracker#mini luggage transport vehicle
1116,Agriculture,Farm land,Changlang,Changlang,Changlang (CT),27.14314,95.73781,1,footway,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,others,discarded in open field,no,N/A,no,N/A,none,N/A,others,none,no,no,none,none,none,rainfed,others,others,2000,10000,palm leaf & bamboo,101-200,others,mini luggage transport vehicle
1117,Agriculture,Farm land,Changlang,Changlang,Changlang (CT),27.14347,95.73764,1,footway,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,others,discarded in open field,no,N/A,no,N/A,none,N/A,others,none,no,no,none,none,none,rainfed,others,others,2000,10000,palm leaf & bamboo,101-200,others,mini luggage transport vehicle
1212,Agriculture,Farm land,Changlang,Changlang,Changlang (CT),27.13326,95.74352,2,kacha road,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,2,water from government,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,none,lath/bamboo,rainfed,sprinklers,others,1000,50,lichi plantation,1-100,others,head load#mini luggage transport vehicle#sumo\/tracker
1272,Agriculture,Farm land,Changlang,Changlang,Changlang (CT),27.144790000000004,95.73829,1,footway,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,river or canal,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,none,none,none,rainfed,others,others,2000,10000,bamboo,1-100,others,mini luggage transport vehicle
1281,Agriculture,Farm land,West Kameng,Singchung,Singchung,27.196620000000006,92.47471,1,footway,0.5,3g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,2,others,burnt within the premises,yes,4,no,N/A,none,N/A,others,none,no,no,government agency,fertilizer,none,river/stream,others,others,500,2000,maize potato,1-100,farmers,mini luggage transport vehicle
1282,Agriculture,Farm land,West Kameng,Singchung,Singchung,27.19019,92.47295,3,footway,0.6,3g unreliable,bsnl#vodafone#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,4,water from government,discarded in open field,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,none,fertilizer,none,river/stream,others,others,3000,200,horticulture,201-300,farmers#others,mini luggage transport vehicle
1349,Agriculture,Farm land,Changlang,Changlang,Changlang (CT),27.13542,95.7443,5,kacha road,2.0,4g+ reliable,vodafone#bsnl#airtel#jio,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,0,water from government,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,none,none,rainfed,rose can,others,0,50,palm leaf (toku patta),1-100,others,head load#mini luggage transport vehicle#huge luggage transport vehicle
1358,Agriculture,Farm land,Changlang,Changlang,Changlang (CT),27.13567,95.74465,1,kacha road,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,0,water from government,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,others,none,none,rainfed,others,others,2000,7000,bamboo,1-100,others,mini luggage transport vehicle#huge luggage transport vehicle
1361,Agriculture,Farm land,Tirap,Khonsa,Kaimoi,27.029870000000006,95.4948,2,footway,3.0,4g+ reliable,bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,spring water,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,none,others,others,others,0,50,"rice, yam, tapioca",1-100,farmers,head load
1379,Agriculture,Farm land,Lower Subansiri,Yachuli,Jara,27.52822,93.77824,3,pakka road,0.1,2g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,river or canal,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,none,none,lath/bamboo,river/stream,others,others,0,0,rice only,1-100,farmers#none,head load
